customer_id,tenure_months,monthly_charges,total_charges,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,tech_support,contract,paperless_billing,payment_method,churn
CUST-00066,24,105.83,2622.77,0,No,Yes,Yes,Yes,Fiber optic,Yes,No,One year,No,Bank transfer,0
CUST-00067,66,95.04,6287.18,0,Yes,No,Yes,Yes,Fiber optic,No,No,Two year,Yes,Credit card,0
CUST-00068,27,78.8,2111.75,0,No,No,Yes,Yes,DSL,No,No,Month-to-month,Yes,Credit card,0
CUST-00069,6,45.46,290.8,0,No,No,Yes,No,DSL,Yes,Yes,Month-to-month,No,Bank transfer,1
CUST-00070,34,93.74,3214.28,1,No,No,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card,1
CUST-00071,58,29.74,1651.94,0,No,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,1
CUST-00072,14,75.99,1068.97,0,No,No,Yes,Yes,DSL,No,No,One year,Yes,Electronic check,1
CUST-00073,34,22.56,762.9,0,Yes,No,Yes,Yes,DSL,No,Yes,Two year,Yes,Mailed check,0
CUST-00074,10,93.38,917.42,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,One year,Yes,Bank transfer,0
CUST-00075,50,91.68,4275.73,0,Yes,No,Yes,No,Fiber optic,Yes,No,Two year,No,Credit card,0
CUST-00076,35,28.03,980.77,0,No,No,Yes,No,No,No internet service,No internet service,One year,No,Credit card,0
CUST-00077,24,91.23,2240.54,0,No,No,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Mailed check,1
CUST-00078,17,58.27,1020.33,1,Yes,No,Yes,No,DSL,Yes,No,Month-to-month,No,Mailed check,0
CUST-00079,41,67.58,2772.01,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,1
CUST-00080,49,71.24,3495.72,1,Yes,No,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,1
CUST-00081,68,32.48,2159.17,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,0
CUST-00082,32,109.61,3643.33,1,No,Yes,No,No phone service,Fiber optic,No,No,One year,No,Bank transfer,1
CUST-00083,12,105.92,1210.58,0,Yes,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Electronic check,1
CUST-00084,60,74.15,4356.28,0,No,No,Yes,No,DSL,No,Yes,Month-to-month,Yes,Mailed check,1
CUST-00085,46,23.2,1032.8,0,No,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,1
CUST-00086,51,125.0,6346.51,0,Yes,No,No,No phone service,Fiber optic,Yes,No,Two year,No,Mailed check,0
CUST-00087,8,82.26,692.64,0,Yes,Yes,Yes,No,DSL,No,Yes,Month-to-month,Yes,Electronic check,0
CUST-00088,23,103.7,2271.79,0,No,No,Yes,No,Fiber optic,Yes,No,One year,Yes,Credit card,1
CUST-00089,56,69.02,3908.29,0,No,No,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Credit card,0
CUST-00090,60,81.6,4955.05,0,Yes,No,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer,0
CUST-00091,32,63.72,1960.41,0,Yes,No,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,0
CUST-00092,58,125.0,7194.15,1,No,No,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Mailed check,1
CUST-00093,61,46.86,2755.93,0,No,No,Yes,Yes,DSL,No,No,Month-to-month,No,Electronic check,0
CUST-00094,28,21.08,592.62,0,No,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,0
CUST-00095,65,20.31,1313.91,0,No,No,No,No phone service,No,No internet service,No internet service,One year,No,Mailed check,0
CUST-00096,21,55.34,1232.09,1,No,No,Yes,Yes,DSL,No,No,Month-to-month,No,Electronic check,1
CUST-00097,18,105.07,1833.36,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,0
CUST-00098,50,32.05,1591.48,0,No,No,No,No phone service,No,No internet service,No internet service,Month-to-month,Yes,Credit card,0
CUST-00099,46,101.76,4611.0,1,Yes,No,Yes,No,Fiber optic,Yes,Yes,Two year,No,Credit card,0
CUST-00100,11,44.94,521.17,1,No,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,1
CUST-00101,60,34.69,2040.41,0,No,No,Yes,No,DSL,No,No,One year,Yes,Mailed check,0
CUST-00102,15,114.47,1655.84,0,No,No,Yes,No,Fiber optic,Yes,Yes,One year,Yes,Electronic check,0
CUST-00103,58,96.42,5418.78,0,No,No,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Bank transfer,0
CUST-00104,1,57.35,55.53,0,No,Yes,Yes,No,DSL,No,Yes,Month-to-month,No,Mailed check,0
CUST-00105,58,88.37,5006.3,0,No,Yes,Yes,Yes,Fiber optic,No,No,One year,Yes,Mailed check,0
CUST-00106,57,79.04,4351.06,0,No,No,Yes,No,DSL,Yes,Yes,Two year,No,Electronic check,0
CUST-00107,57,29.77,1697.94,0,No,No,Yes,Yes,DSL,Yes,Yes,Two year,Yes,Electronic check,0
CUST-00108,48,86.75,3947.7,0,Yes,No,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,0
CUST-00109,34,91.76,3191.8,0,Yes,No,Yes,No,DSL,No,Yes,Month-to-month,No,Electronic check,0
CUST-00110,51,53.49,2732.48,0,No,No,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,1
CUST-00111,20,80.4,1712.31,1,No,No,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Credit card,0
CUST-00112,57,94.37,5479.54,0,No,Yes,Yes,Yes,DSL,No,Yes,Two year,No,Electronic check,0
CUST-00113,41,88.96,3700.74,0,No,Yes,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,0
CUST-00114,34,84.0,3085.57,0,Yes,No,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Credit card,0
CUST-00115,37,39.85,1500.07,0,Yes,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,0
CUST-00116,41,83.73,3403.44,0,No,No,Yes,No,DSL,Yes,Yes,Two year,No,Mailed check,0
CUST-00117,3,74.83,216.68,0,Yes,No,No,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,1
CUST-00118,11,58.84,684.85,1,No,No,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,1
CUST-00119,18,79.95,1381.05,0,No,Yes,No,No phone service,DSL,No,No,Month-to-month,Yes,Bank transfer,1
CUST-00120,9,97.81,840.16,1,No,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card,1
CUST-00121,32,91.11,2783.15,1,Yes,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,1
CUST-00122,49,81.34,3865.7,1,No,No,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,0
CUST-00123,48,103.81,4991.54,0,Yes,No,Yes,Yes,Fiber optic,No,No,One year,Yes,Bank transfer,0
CUST-00124,34,51.6,1736.01,1,Yes,No,Yes,Yes,DSL,Yes,No,One year,No,Bank transfer,0
CUST-00125,62,96.66,6118.86,0,Yes,No,No,No phone service,DSL,No,Yes,Month-to-month,Yes,Credit card,0
CUST-00126,41,18.94,742.68,0,Yes,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,0
CUST-00127,6,46.31,268.17,0,No,No,Yes,Yes,DSL,No,No,One year,Yes,Electronic check,0
CUST-00128,56,86.54,4876.0,0,No,Yes,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,0
CUST-00129,42,89.83,3627.35,0,Yes,Yes,No,No phone service,Fiber optic,No,No,One year,Yes,Electronic check,0
CUST-00130,46,71.75,3120.67,0,No,No,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,1
CUST-00131,41,38.19,1469.97,0,No,No,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,0
CUST-00132,40,93.59,3736.33,0,No,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,1
CUST-00133,7,110.63,772.28,1,No,No,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Mailed check,1
CUST-00134,41,30.54,1246.33,0,No,No,No,No phone service,No,No internet service,No internet service,Two year,Yes,Bank transfer,0
CUST-00135,58,49.17,2990.68,0,Yes,Yes,No,No phone service,DSL,Yes,Yes,Month-to-month,No,Electronic check,0
CUST-00136,22,28.2,627.9,0,Yes,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,0
CUST-00137,44,41.61,1830.87,0,No,Yes,Yes,Yes,DSL,No,No,One year,Yes,Bank transfer,1
CUST-00138,3,35.23,111.39,0,No,No,Yes,Yes,DSL,No,Yes,One year,Yes,Mailed check,0
CUST-00139,26,83.13,2245.67,0,No,No,No,No phone service,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,1
CUST-00140,32,61.23,1902.15,0,Yes,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Credit card,0
CUST-00141,71,91.51,6714.1,0,Yes,No,Yes,No,Fiber optic,Yes,No,Two year,Yes,Electronic check,0
CUST-00142,16,89.09,1526.53,0,No,No,No,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,1
CUST-00143,20,98.78,2116.0,0,Yes,No,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Credit card,0
CUST-00144,30,43.0,1340.4,1,No,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,0
CUST-00145,72,18.0,1316.11,0,No,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Credit card,0
CUST-00146,62,119.64,7503.79,1,Yes,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,1
CUST-00147,3,96.56,306.56,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,Two year,No,Credit card,1
CUST-00148,17,102.32,1646.37,0,Yes,No,Yes,Yes,Fiber optic,No,No,One year,Yes,Bank transfer,0
CUST-00149,60,21.29,1342.17,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,One year,No,Credit card,0
CUST-00150,5,57.81,290.56,1,No,No,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,1
CUST-00151,62,59.9,3576.73,1,No,Yes,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer,0
CUST-00152,21,18.0,360.13,0,Yes,No,Yes,Yes,No,No internet service,No internet service,Two year,No,Electronic check,0
CUST-00153,67,107.08,6684.89,0,No,Yes,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card,0
CUST-00154,22,60.49,1360.83,0,Yes,No,Yes,No,Fiber optic,No,No,Two year,Yes,Electronic check,0
CUST-00155,32,101.48,3497.08,0,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,0
CUST-00156,48,87.79,4129.78,1,No,No,Yes,No,DSL,Yes,Yes,One year,Yes,Credit card,1
CUST-00157,10,93.65,904.51,0,No,Yes,Yes,Yes,Fiber optic,No,No,One year,Yes,Mailed check,0
CUST-00158,41,60.98,2621.04,0,No,No,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Bank transfer,0
CUST-00159,37,18.0,669.02,0,Yes,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,0
CUST-00160,57,58.87,3523.96,0,No,Yes,Yes,No,Fiber optic,No,No,Two year,Yes,Mailed check,0
CUST-00161,72,18.37,1271.01,1,Yes,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card,0
CUST-00162,48,43.62,2148.41,0,No,No,Yes,No,DSL,Yes,No,Month-to-month,Yes,Credit card,0
CUST-00163,30,30.64,985.94,0,No,No,Yes,No,No,No internet service,No internet service,One year,No,Mailed check,0
CUST-00164,30,72.27,2077.05,0,No,No,Yes,Yes,Fiber optic,No,No,One year,No,Bank transfer,0
CUST-00165,31,70.73,2164.5,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Two year,No,Mailed check,0
CUST-00166,59,18.0,1046.64,0,Yes,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,0
CUST-00167,24,65.35,1615.42,1,No,Yes,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,1
CUST-00168,13,30.98,423.05,0,Yes,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,0
CUST-00169,25,79.79,1940.35,0,No,No,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Mailed check,0
CUST-00170,2,69.46,152.8,0,No,No,Yes,No,DSL,Yes,No,Two year,No,Electronic check,0
CUST-00171,8,92.61,742.55,0,No,Yes,Yes,Yes,Fiber optic,No,Yes,One year,Yes,Credit card,0
CUST-00172,7,28.34,193.88,0,Yes,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,0
CUST-00173,56,104.65,6195.07,0,No,Yes,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,0
CUST-00174,53,59.48,3170.1,0,Yes,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,1
CUST-00175,51,88.75,4458.14,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer,0
CUST-00176,34,100.07,3328.57,0,No,Yes,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,1
CUST-00177,52,28.44,1603.24,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,One year,No,Electronic check,0
CUST-00178,12,18.0,207.41,0,No,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,0
CUST-00179,65,69.71,4735.2,0,No,Yes,Yes,No,DSL,Yes,No,Month-to-month,No,Electronic check,1
CUST-00180,37,85.07,3045.4,0,No,No,Yes,No,DSL,Yes,Yes,One year,Yes,Bank transfer,0
CUST-00181,68,44.8,2970.52,0,No,No,No,No phone service,DSL,No,Yes,One year,Yes,Credit card,0
CUST-00182,11,72.98,800.15,1,No,No,Yes,Yes,DSL,No,No,Month-to-month,Yes,Credit card,0
CUST-00183,36,63.3,2321.22,0,Yes,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,0
CUST-00184,51,84.83,4041.7,0,No,Yes,Yes,Yes,Fiber optic,No,No,One year,Yes,Mailed check,0
CUST-00185,36,92.46,3256.07,0,Yes,Yes,Yes,No,DSL,Yes,No,Month-to-month,Yes,Mailed check,0
CUST-00186,33,102.55,3523.45,0,No,No,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,1
CUST-00187,12,105.74,1320.88,0,No,No,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Bank transfer,0
CUST-00188,28,73.39,2031.06,0,No,Yes,Yes,No,Fiber optic,No,No,One year,Yes,Electronic check,1
CUST-00189,18,25.86,443.6,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,0
CUST-00190,22,68.35,1516.66,0,Yes,No,Yes,No,Fiber optic,No,No,One year,Yes,Mailed check,1
CUST-00191,50,93.98,4855.67,1,Yes,Yes,Yes,No,DSL,Yes,Yes,One year,Yes,Mailed check,0
CUST-00192,46,18.6,861.81,0,Yes,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card,0
CUST-00193,44,108.72,5052.6,1,Yes,No,No,No phone service,DSL,Yes,Yes,One year,No,Electronic check,0
CUST-00194,27,39.89,1065.41,1,Yes,Yes,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card,0
CUST-00195,70,93.09,6172.77,1,Yes,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card,0
CUST-00196,7,18.0,123.0,0,No,No,No,No phone service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,0
CUST-00197,25,73.98,1849.61,0,Yes,No,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,1
CUST-00198,9,82.03,717.5,0,No,No,Yes,Yes,Fiber optic,No,No,One year,No,Electronic check,1
CUST-00199,25,21.85,534.9,0,Yes,No,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer,0
CUST-00200,70,20.19,1467.67,1,No,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,0
CUST-00201,27,18.0,470.21,0,Yes,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,1
CUST-00202,66,62.18,3885.04,0,No,No,No,No phone service,DSL,No,No,One year,Yes,Bank transfer,0
CUST-00203,36,90.99,3381.77,0,No,No,Yes,Yes,Fiber optic,No,Yes,One year,Yes,Credit card,1
CUST-00204,51,62.36,3262.46,0,No,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Bank transfer,1
CUST-00205,33,71.27,2254.34,0,Yes,No,Yes,No,DSL,No,No,Two year,No,Electronic check,0
CUST-00206,20,125.0,2570.74,0,No,No,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,1
CUST-00207,56,67.37,3602.1,1,Yes,Yes,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,0
CUST-00208,70,91.96,6250.9,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Electronic check,0
CUST-00209,19,91.85,1668.06,0,Yes,No,Yes,Yes,DSL,No,No,One year,Yes,Electronic check,1
CUST-00210,57,18.01,1007.75,0,No,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,0
CUST-00211,19,39.91,775.4,1,Yes,No,No,No phone service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,0
CUST-00212,52,101.07,5312.37,0,No,Yes,Yes,No,Fiber optic,No,Yes,One year,No,Electronic check,0
CUST-00213,57,43.85,2418.1,0,Yes,No,No,No phone service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,0
CUST-00214,33,64.99,2160.92,0,Yes,No,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card,0
CUST-00215,54,37.78,2071.3,1,Yes,Yes,Yes,No,DSL,No,Yes,One year,Yes,Mailed check,0
CUST-00216,20,97.44,2023.28,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,1
CUST-00217,6,22.98,139.86,0,No,No,Yes,No,No,No internet service,No internet service,One year,Yes,Mailed check,0
CUST-00218,7,85.28,614.58,1,No,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,1
CUST-00219,33,62.81,2078.1,0,No,No,Yes,Yes,DSL,No,No,One year,No,Credit card,0
CUST-00220,65,80.71,5075.15,0,Yes,Yes,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,0
CUST-00221,10,81.43,819.57,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,1
CUST-00222,33,74.65,2583.23,0,No,Yes,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,1
CUST-00223,51,100.26,5372.57,0,Yes,Yes,Yes,Yes,DSL,No,No,Month-to-month,No,Electronic check,0
CUST-00224,15,45.13,607.05,0,Yes,No,Yes,No,DSL,No,Yes,One year,Yes,Bank transfer,0
CUST-00225,52,54.08,2882.91,0,No,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,0
CUST-00226,23,74.37,1676.7,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Credit card,0
CUST-00227,59,33.72,2021.36,0,Yes,No,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,0
CUST-00228,42,125.0,4963.16,0,Yes,No,No,No phone service,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,1
CUST-00229,40,46.31,1820.53,0,No,No,No,No phone service,No,No internet service,No internet service,Month-to-month,No,Electronic check,0
